id,Subscribed,minimal_bern,state_base_cls,state_bern_cls,bundle_state3way_equal,bundle_state3way_best
1,0,0.0019129817632517236,0.005386730732709362,0.006507847897992913,0.09306666666666666,0.086485
2,0,0.00687470812956892,0.016104590460220315,0.011652345999540644,0.19876666666666665,0.198165
3,1,0.4450149328893003,0.17409362261911365,0.15876545880865078,0.5178,0.535135
4,0,0.592360548905694,0.7514945415303066,0.7442367449972724,0.6765,0.67501
5,0,0.005212399222088542,0.005847568281711459,0.006801176036797008,0.12676666666666664,0.129515
6,0,0.005246179604592839,0.007343655686037687,0.0045860236525805875,0.12186666666666666,0.13081500000000001
7,1,0.9742356969329398,0.9647297587421296,0.9771492564857216,0.9789333333333332,0.978355
8,0,0.02968163133671723,0.04917665526057846,0.03282490482589483,0.32689999999999997,0.330495
9,0,0.8316544451951704,0.9400764088449067,0.9308672780937621,0.8681333333333332,0.860635
10,1,0.8510265354893849,0.8582573046998843,0.8439004616387421,0.7857999999999999,0.79506
11,1,0.9380480420601316,0.9477598830988343,0.9441646071443379,0.9246,0.9274600000000001
12,0,0.8043239729181098,0.8467148304291852,0.867818071348464,0.7763999999999999,0.777
13,0,0.2035652144069066,0.21553441118314898,0.18033475668858895,0.5001,0.50597
14,0,0.6316556780821325,0.6100176238952141,0.6916023040843119,0.6520666666666667,0.655015
15,0,0.18789569971538508,0.14019190950303115,0.14004418679267505,0.4737666666666666,0.48153500000000005
16,0,0.08442822605705169,0.13412816927041799,0.1786309055596949,0.4544333333333333,0.44945000000000007
17,1,0.8336009040621788,0.899617494864916,0.8915424730057996,0.8183333333333334,0.8191550000000001
18,0,0.03277424962333438,0.0857649691094306,0.07841233285379745,0.3813,0.37481000000000003
19,0,0.39930988923649435,0.5687082518118958,0.5780707445463493,0.6058333333333333,0.6045849999999999
20,0,0.08238238983537105,0.09804985156556623,0.12381043089159019,0.4318333333333333,0.430875
21,0,0.07114207439725467,0.10080234592307374,0.10507850380675687,0.42393333333333333,0.42347
22,1,0.9810412927322474,0.9738327777125332,0.9765190869040303,0.9878333333333333,0.9885349999999999
23,0,0.10639345503800426,0.11659256114908478,0.14448090908520866,0.4505333333333333,0.45115999999999995
24,0,0.8819480743483534,0.8906156719851736,0.922860283345987,0.8472999999999999,0.846325
25,0,0.5634432770531584,0.7824124631305753,0.7777732387419389,0.6857333333333333,0.6808100000000001
26,0,0.049094460188666894,0.06059786206579699,0.059423182046213635,0.37306666666666666,0.374865
27,1,0.8646447808925075,0.8955253109056719,0.890900299359809,0.8255666666666666,0.829765
28,0,0.5092884980112131,0.3859547729439883,0.40473932179785305,0.5825666666666667,0.5912900000000001
29,0,0.016307559945412418,0.011751967885708765,0.014806509095415404,0.2243,0.22985499999999998
30,0,0.08932994556529773,0.10252255953692896,0.10318641880050995,0.4310666666666666,0.433395
31,1,0.9643733202650826,0.9696452549533188,0.9778489553185534,0.9789333333333333,0.976965
32,1,0.9025622416836273,0.9302351727175786,0.9202736200718249,0.8785333333333333,0.8822949999999999
