id,Subscribed,pseudo5_minimal_bern,pseudo5_state_base_cls,pseudo5_state_bern_cls,overnight_pseudo5_best
1,0,0.0032140220293351276,0.007238723301527948,0.005932106190236928,0.10777600000000001
2,0,0.010008903950129633,0.01624905837372913,0.018658231861062108,0.231074
3,1,0.43565948327506815,0.22200790146979354,0.23658834271700763,0.562608
4,0,0.6318883808776525,0.7542169406127864,0.7644343501773755,0.6887840000000001
5,0,0.0049632224995560924,0.005646626127270266,0.005643512927005052,0.127418
6,0,0.005248202770788839,0.006901522789654169,0.0063722146204198684,0.137196
7,1,0.9686951724342676,0.9694930979034114,0.973873997527563,0.980324
8,0,0.03547462386182616,0.04520562390050716,0.046841454368219626,0.34687
9,0,0.7503666963251157,0.915527509066596,0.9079628636116488,0.793838
10,1,0.8034941902385258,0.8221353020784935,0.8251107434421803,0.7664900000000001
11,1,0.9379136959225498,0.9469749821448319,0.942867208144633,0.9274740000000001
12,0,0.7314550636735054,0.862913399354583,0.8522589004967429,0.752402
13,0,0.219676182148487,0.17023601751763612,0.16913940365907174,0.5055260000000001
14,0,0.7154764918418199,0.6604426112390263,0.645281867950233,0.6862680000000001
15,0,0.1536774271301553,0.1597641815267493,0.13190146865526853,0.47642799999999996
16,0,0.09035852453633861,0.1854630767665513,0.1636110596525829,0.45702600000000004
17,1,0.8548388297730587,0.9071885887567213,0.9011179216729677,0.8338840000000001
18,0,0.042443440196263824,0.09142179293653974,0.0828719293802887,0.3855120000000001
19,0,0.5119305253442072,0.6532138628025811,0.6630599851948082,0.639352
20,0,0.1086495787832984,0.12408877471050435,0.12708205036936343,0.45682000000000006
21,0,0.06882906326702913,0.11205458182129058,0.10648534172000272,0.42554200000000003
22,1,0.9687733210301566,0.96663255751709,0.9700561601240926,0.976476
23,0,0.09593193093116334,0.14003774846067008,0.14261219763034755,0.45475600000000005
24,0,0.873862393080663,0.9227215491377807,0.9087022909137598,0.850898
25,0,0.5966155995191273,0.7598494941312399,0.7186273483102736,0.668432
